emoji,anger,joy,sadness,fear,surprise,disgust,anticipation,trust,pred_neg,pred_pos,pred_neut,pred_sent_score
🗡,0.07035887278598302,0.0772719915189319,0.06092667744552153,0.06701292027371906,0.06761738433027001,0.04573742622139288,0.0758726859712479,0.08077662377017109,0.22971372306346893,0.1848662793636322,0.5854200124740601,-0.04484744369983673
🀄️,0.07108035958285565,0.08507777937762197,0.07451230190603081,0.07983713751196841,0.07486816117631698,0.0577076898155004,0.0839892755294241,0.08937191298935487,0.11668381839990616,0.2083757072687149,0.6749405264854431,0.09169188886880875
👸🏾,0.06853809501752638,0.08833453911319394,0.073391256864138,0.0744298172116762,0.07455279245214111,0.053586537168800276,0.08366254412393268,0.09680627507851207,0.10962536185979843,0.24250206351280212,0.6478726267814636,0.1328767016530037
⛈,0.07021456340051298,0.07421639254712467,0.059360353533328025,0.06437860576379577,0.06712101930932388,0.0526032773205574,0.07532444634411714,0.07760823666062898,0.13006922602653503,0.18806132674217224,0.6818695068359375,0.05799210071563721
🦆,0.07340005711960815,0.07934960620404118,0.06413712711615782,0.06787867503321943,0.0710928043496439,0.06113554630943231,0.0797630511898363,0.08242864713538983,0.09642992913722992,0.2951911389827728,0.6083789467811584,0.1987612098455429
👗,0.06936822084666933,0.0751874396673675,0.06794829975700596,0.06279679851050332,0.06800942985702936,0.059730447025280804,0.07632831838105265,0.06996473638944908,0.1013541966676712,0.22537900507450104,0.6732667684555054,0.12402480840682983
📐,0.06626640551420242,0.07595213717333345,0.06935566606804122,0.07422419774261266,0.06928438588909432,0.050620102592483195,0.07672273597660295,0.07918955431226467,0.17153964936733246,0.24814021587371826,0.5803200602531433,0.0766005665063858
👧🏾,0.07497115442121507,0.0678472713688943,0.07695132673430863,0.07034139955675696,0.07096782430114666,0.06842792801558122,0.07962784569635782,0.0688307677569002,0.10874153673648834,0.22533655166625977,0.6659218072891235,0.11659501492977142
👮🏿,0.08025965791270036,0.08742605049868854,0.06955296236845297,0.0761928186733626,0.07673341545419123,0.07360430393009583,0.08613393096862997,0.08524444544558607,0.1457192599773407,0.1992330253124237,0.6550476551055908,0.05351376533508301
🕰,0.07402179506979219,0.09042115638598311,0.07096668793750119,0.0711302350943768,0.07587431133068558,0.06552257381254405,0.08512985422566309,0.09344216433526475,0.1592991203069687,0.2619071900844574,0.5787936449050903,0.10260806977748871
♏,0.07173620068238544,0.0833512236518272,0.06827786732139457,0.0683873237044729,0.07339319877768921,0.07079303736962449,0.08236164563046647,0.08349352281758414,0.15172196924686432,0.22786204516887665,0.620415985584259,0.07614007592201233
🎖,0.06934716677420381,0.07814592813164085,0.07102340427498943,0.0765875703035482,0.07108824617440297,0.05085630111597977,0.07976461799054117,0.0823277699580576,0.09292684495449066,0.3495827615261078,0.5574904680252075,0.2566559165716171
🏄🏾,0.07131625825713242,0.08052344436643541,0.07098836121367125,0.0694148650304956,0.07224094765692915,0.06531428056468958,0.08111191219567193,0.07952307169376555,0.05590056627988815,0.3566431403160095,0.5874563455581665,0.30074257403612137
🇹🇦,0.07439649219141872,0.07717567031847748,0.08076068922563502,0.07461741633529553,0.07472395252678918,0.06464465715065966,0.08382928088702195,0.0848586748588754,0.11507856845855713,0.1280844658613205,0.756837010383606,0.013005897402763367
🗣,0.06860065204502355,0.0865935377306041,0.08643528791326878,0.08050723131151204,0.07755264001437984,0.06015513132202175,0.08700929322005024,0.09657094001499948,0.2493758350610733,0.19328802824020386,0.557336151599884,-0.056087806820869446
👼🏻,0.07321159691575876,0.08431693795976597,0.06400321556086841,0.06751626995533824,0.07241746455744548,0.060325639449730656,0.08132975614838511,0.08904790675601972,0.0444534495472908,0.32590341567993164,0.6296431422233582,0.28144996613264084
🔸,0.06170769828684902,0.06974578753472074,0.06086684120654841,0.05582386724369382,0.0621108655931988,0.049277814190502395,0.06980967316959792,0.06428182080187025,0.16880381107330322,0.24922297894954681,0.5819732546806335,0.08041916787624359
🃏,0.08311805168117867,0.08456951400928334,0.07425194675902987,0.07468536124045046,0.07671031274326312,0.07282946619997324,0.08607704352182527,0.08267302627025677,0.09317188709974289,0.22390469908714294,0.6829233765602112,0.13073281198740005
🖊,0.06831127232640206,0.06885047832924518,0.06367755758695658,0.06495123188132301,0.06622542661593724,0.04441318012508786,0.07429978600118728,0.08156456161435525,0.12073338031768799,0.2900218069553375,0.5892447829246521,0.16928842663764954
🛂,0.07218561984319197,0.08898835723672263,0.06573497942611942,0.06606634260134706,0.07235620830254416,0.06473808795488238,0.08117392032174603,0.08032275962349696,0.14863061904907227,0.23769785463809967,0.6136715412139893,0.0890672355890274
🌶,0.08335803849812616,0.09754014485188231,0.07951693402174431,0.08295092764435863,0.082026654319104,0.07425505310500269,0.09205840202513481,0.09761178136056659,0.12032946199178696,0.362299382686615,0.5173711180686951,0.24196992069482803
👂🏼,0.07374829901078606,0.08178957783862417,0.06916141418885895,0.07226822257691147,0.07291098008134775,0.06114974460223052,0.08179624231667929,0.08420605050744276,0.060206349939107895,0.31257572770118713,0.6272180080413818,0.25236937776207924
🇨🇮,0.07594229637568445,0.08451998135483134,0.0693326479373413,0.0696737098338928,0.07351427091660523,0.0659535652801485,0.08256908929390391,0.08148647225806151,0.08857066184282303,0.18630653619766235,0.7251227498054504,0.09773587435483932
🥒,0.06770202905572749,0.07068621429088023,0.056848620753797305,0.05835422514457208,0.06360333075089428,0.04987082633601778,0.07141840817272709,0.06906643518904927,0.13641855120658875,0.36145228147506714,0.5021291971206665,0.2250337302684784
🤾,0.06796813145602368,0.08198108770969681,0.06657085785344151,0.06256146880726833,0.0697142152950516,0.06062374195201933,0.078209417144455,0.07814640271601873,0.10864222049713135,0.32422128319740295,0.5671364068984985,0.2155790627002716
📯,0.07117157140494702,0.05693725712395764,0.11387451424791532,0.08540588568593649,0.06149223769387423,0.0774346696885824,0.06149223769387423,0.063200355407593,0.17708614468574524,0.2535063624382019,0.5694074034690857,0.07642021775245667
😢,0.07997219121137299,0.08982898599894992,0.07686770177417955,0.07605457781898071,0.07764374054860912,0.06899638103732426,0.08716694025168371,0.0878170239708443,0.6474756002426147,0.06826383620500565,0.28426051139831543,-0.5792117640376091
🔇,0.08951727395755808,0.09074051040913586,0.07210537349458351,0.08712311493506801,0.08021663726152384,0.057215323045545524,0.08998927558562086,0.10370197160817686,0.1485123336315155,0.28448930382728577,0.566998302936554,0.13597697019577026
💾,0.07642200491374798,0.0728135614136862,0.06895264387121597,0.07123687444264683,0.06931345514712693,0.0549409581763056,0.07784756014499815,0.07036916281796134,0.12341607362031937,0.32872331142425537,0.5478606820106506,0.205307237803936
🦏,0.07621235126984903,0.08291118700912346,0.07154766661604675,0.07099600045942132,0.07356444000813954,0.06406862633872729,0.0827373959786001,0.0814510297214368,0.10631885379552841,0.26288262009620667,0.6307984590530396,0.15656376630067825
🇺🇸,0.06439512230801175,0.07751037339054741,0.07770760551321673,0.06982611068562751,0.07128326305374162,0.05535517335445858,0.07996832698790363,0.08500034691759788,0.04713413491845131,0.24601511657238007,0.7068507671356201,0.19888098165392876
👁‍🗨,0.06020077286097478,0.072759842002752,0.07590145854600172,0.0749954954265965,0.06999716536446693,0.040177896252557944,0.07851947133435877,0.09596721216614339,0.13068431615829468,0.1446038782596588,0.7247118949890137,0.013919562101364136
