unicode,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Position,Unicode block,le_+,le_-,le_0,sent_score,sent_score_class,upper_error_class,lower_error_class,sent_polar,primary_basic_emot
1F481,💁,0.08,0.33,0.08,0.06,0.14,0.06,0.17,0.25,0.839628793,Miscellaneous Symbols and Pictographs,0.5181159420289855,0.1920289855072463,0.2898550724637681,0.3260869565217391,Positive,Positive,Positive,Positive,anticipation
1F483,💃,0.0,0.11,0.0,0.0,0.69,0.0,0.17,0.19,0.852764705,Miscellaneous Symbols and Pictographs,0.7787676317743133,0.0445434298440979,0.1766889383815887,0.7342242019302153,Positive,Positive,Positive,Positive,joy
1F48B,💋,0.0,0.28,0.0,0.0,0.78,0.0,0.19,0.69,0.800580592,Miscellaneous Symbols and Pictographs,0.7299864314789688,0.039348710990502,0.2306648575305291,0.6906377204884667,Positive,Positive,Positive,Positive,joy
1F48E,💎,0.0,0.31,0.0,0.06,0.33,0.0,0.25,0.5,0.694054736,Miscellaneous Symbols and Pictographs,0.6179245283018868,0.0566037735849056,0.3254716981132075,0.5613207547169812,Positive,Positive,Positive,Positive,trust
1F490,💐,0.0,0.39,0.0,0.0,0.69,0.11,0.36,0.58,0.727586517,Miscellaneous Symbols and Pictographs,0.7755102040816326,0.0408163265306122,0.1836734693877551,0.7346938775510203,Positive,Positive,Positive,Positive,joy
1F493,💓,0.0,0.47,0.0,0.08,0.61,0.0,0.19,0.67,0.783045488,Miscellaneous Symbols and Pictographs,0.7251908396946565,0.0610687022900763,0.2137404580152671,0.6641221374045801,Positive,Positive,Positive,Positive,trust
1F494,💔,0.39,0.19,0.33,0.14,0.0,0.94,0.08,0.17,0.835831574,Miscellaneous Symbols and Pictographs,0.2930513595166163,0.4138972809667673,0.2930513595166163,-0.120845921450151,Neutral,Neutral,Negative,Negative,sadness
1F495,💕,0.0,0.31,0.0,0.0,0.83,0.0,0.11,0.75,0.765725889,Miscellaneous Symbols and Pictographs,0.6737411568872244,0.0416146483562213,0.2846441947565543,0.6321265085310029,Positive,Positive,Positive,Positive,joy
1F496,💖,0.0,0.33,0.0,0.0,0.89,0.0,0.25,0.53,0.762239109,Miscellaneous Symbols and Pictographs,0.7551342812006319,0.0434439178515007,0.2014218009478673,0.711690363349131,Positive,Positive,Positive,Positive,joy
1F497,💗,0.0,0.36,0.0,0.0,0.89,0.0,0.22,0.5,0.799725947,Miscellaneous Symbols and Pictographs,0.7079856972586412,0.0512514898688915,0.2407628128724672,0.6567342073897497,Positive,Positive,Positive,Positive,joy
